Issue ID,Issue Type,Summary,Description,Priority,Labels,Components,Epic Name,Epic Link,Story Points,Original Estimate,Depends On,Acceptance Criteria,Technical Notes
HM-EPIC-PH1,Epic,"Phase 1 - MVP Core Loop","Goal: mention-triggered NPC response with memory read/write and Anthropic integration. Exit: one NPC can run 3-4 hours without crash, p90 reply under 5 seconds (excluding provider spikes), memory retrieval and append verified.",High,"homunculus roadmap phase1 mvp",Platform,HM-PH1-MVP,,,,,,
HM-EPIC-PH2,Epic,"Phase 2 - Hardening and Operability","Goal: reliability, observability, deployment automation, and performance guardrails. Exit: multi-NPC stable run, fallback behavior verified, CI and deploy scripts ready.",Medium,"homunculus roadmap phase2 hardening",Platform,HM-PH2-HARDEN,,,,,,
HM-EPIC-PH3,Epic,"Phase 3 - Extensions","Goal: post-MVP capability expansion. Exit: dice integration, web admin panel, multi-provider support, richer NPC state model.",Medium,"homunculus roadmap phase3 extensions",Platform,HM-PH3-EXTEND,,,,,,
HM-BE-01,Task,"[BE-01] Project skeleton","Create src layout, typed settings loader, and base runtime wiring.",High,"homunculus phase1 mvp backend",Backend,,HM-PH1-MVP,1,4h,,"Repository builds; runtime entrypoint and settings loader available.","Keep layout minimal and extensible; avoid premature abstraction."
HM-BE-02,Task,"[BE-02] CharacterCard schema and validation","Implement CharacterCard schema, validation flow, and typed error model.",High,"homunculus phase1 mvp backend",Backend,,HM-PH1-MVP,2,8h,HM-BE-01,"Valid and invalid cards are handled with deterministic error messages.","Use strict schema validation and preserve clear field-level errors."
HM-BE-03,Task,"[BE-03] Discord mention listener","Implement channel-scoped listener and bot mention trigger filter.",High,"homunculus phase1 mvp backend discord",Backend,,HM-PH1-MVP,2,8h,HM-BE-01,"Bot responds only when mentioned in configured channel.","Respect Discord rate limits and reconnect semantics."
HM-BE-04,Task,"[BE-04] Recent message collector","Collect recent N messages from channel history with default 25 and configurable N.",Medium,"homunculus phase1 mvp backend discord",Backend,,HM-PH1-MVP,1,4h,HM-BE-03,"Collector returns ordered context window with role attribution.","Enforce message cap and deterministic ordering."
HM-BE-05,Task,"[BE-05] QMD adapter with fallback","Implement qmd query timeout handling and fallback to qmd search with normalized output schema.",High,"homunculus phase1 mvp backend memory qmd",Backend,,HM-PH1-MVP,3,12h,HM-BE-01,"Query executes with NPC-specific XDG paths; timeout/failure triggers fallback; normalized records returned.","Use asyncio.create_subprocess_exec; guard query size; structured logs without secrets."
HM-BE-06,Task,"[BE-06] Prompt builder and token budget","Compose system plus history plus memory prompt with truncation and budget enforcement.",High,"homunculus phase1 mvp backend llm",Backend,,HM-PH1-MVP,2,8h,"HM-BE-02|HM-BE-04|HM-BE-05","Prompt stays inside budget and preserves instruction priority.","Centralize token budgeting policy to avoid duplication."
HM-BE-07,Task,"[BE-07] Anthropic client adapter","Implement Anthropic completion adapter with model config injection.",Medium,"homunculus phase1 mvp backend llm",Backend,,HM-PH1-MVP,1,4h,HM-BE-01,"Completion requests succeed with model/provider settings from config.","Keep provider interface abstract for later expansion."
